Species,Order,AvgLifespan,MaxLifespan,Common name, 
Arctocephalus australis,Carnivora,16,30.6,South American fur seal,
Phoca vitulina,Carnivora,29,47.6,Harbor seal,
Felis catus,Carnivora,13.5,30,Domestic cat,
Ursus arctos,Carnivora,25,40,Brown bear,
Vulpes vulpes,Carnivora,5,21.3,Red fox,
Neovison vison,Carnivora,3.5,11.4,American mink,
Nyctereutes procyonoides,Carnivora,5.5,16.6,Common raccoon dog,
Panthera leo,Carnivora,14,28,Lion,
Ursus maritimus,Carnivora,30,43.8,Polar bear,
Zalophus californianus,Carnivora,30,35.7,California sea lion,
Lynx rufus,Carnivora,11,32.3,Bobcat,
Enhydra lutris,Carnivora,23,27,Sea otter,
Panthera pardus,Carnivora,14.5,27.3,Leopard,
Suricata suricatta,Carnivora,13,20.6,Meerkat,
Ursus americanus,Carnivora,20,34,American black bear,
Lynx canadensis,Carnivora,12,26.8,Canada lynx,
Crocuta crocuta,Carnivora,25,41.1,Spotted hyena,
Acinonyx jubatus,Carnivora,12,20.5,Cheetah,
Puma concolor,Carnivora,10.5,27,Cougar,
Ailuropoda melanoleuca,Carnivora,20,36.8,Giant panda,
Mustela nigripes,Carnivora,9.4,9.4,Black-footed ferret,
