Species,Order,AvgLifespan,MaxLifespan,Common name, 
Eptesicus fuscus,Chiroptera,19,19,Big brown bat,
Myotis lucifugus,Chiroptera,7,34,Little brown bat,
Nyctalus noctula,Chiroptera,8,12,Noctule,
Pipistrellus pipistrellus,Chiroptera,10,16.6 years,Common pipistrelle,
Pteropus alecto,Chiroptera,4.5,20.3,Black flying fox,
Macroderma gigas,Chiroptera,16,22.6,Australian false vampire bat,
Rousettus aegyptiacus,Chiroptera,9,22.9,Egyptian rousette,
Myotis nigricans,Chiroptera,7,7,Black myotis,
Myotis brandtii,Chiroptera ,40,41,Brandts bat,
Myotis myotis,Chiroptera ,15.5,37.1,Mouse-eared bat,
Rhinolophus ferrumequinum,Chiroptera                   ,30,30.5,Greater horseshoe bat,
