Species,Order,AvgLifespan,MaxLifespan,Common name, 
Heterocephalus glaber,Rodentia,20,31,Naked mole-rat,
Cavia porcellus,Rodentia,6,12,Guinea pig,
Mus musculus,Rodentia,1.5,4,House mouse,
Cryptomys hottentotus,Rodentia,11,11,African mole rat,
Marmota marmota,Rodentia,15,17.4,Alpine marmot,
Ictidomys tridecemlineatus,Rodentia,7.9,7.9,Thirteen-lined ground squirrel,
Cricetulus barabensis,Rodentia,2.5,5.3,Striped dwarf hamster,
Mesocricetus auratus,Rodentia,2.5,3.9,Golden Hampster,
Octodon degus,Rodentia,6,14,Common Degu,
Castor canadensis,Rodentia,23.4,23.4,American Beaver,
Spalax ehrenbergi,Rodentia,3.75,20.2,Palestine mole rat,
Peromyscus guatemalensis,Rodentia,5.7,5.7,Guatemalan deer mouse,
Marmota monax,Rodentia,4.5,14,Groundhog,
Microtus ochrogaster,Rodentia,1,5.3,Prairie vole,
Mus spicilegus,Rodentia,3.5,3.5,Mound-building mouse,
Meriones unguiculatus,Rodentia,2,6.3,Mongolian gerbil,
Dipodomys ordii,Rodentia,1.5,9.9,Ords kangaroo rat,
